Name of Product (English),Net Rate (₹)
"2 1/2"" Kuruvi",10.0
"3 1/2"" Lakshmi",14.0
"4"" Lakshmi",20.0
"4"" Lakshmi Deluxe",28.0
"4"" Lakshmi Mega Deluxe",34.0
Two Sound Crackers,34.0
Gold Lakshmi,40.0
"5"" Kamsan",62.0
"6"" Jallikattu / Lakshmi",72.0
Ground Chakkar Big (10 Pcs),40.0
Ground Chakkar Asoka (10 Pcs),50.0
Ground Chakkar Special (10 Pcs),72.0
Ground Chakkar Deluxe (10 Pcs),144.0
INF Spin Master Mini (10 Pcs),88.0
Sunflower Wheel (5 Pcs),116.0
Whistling Wheel (5 Pcs),122.0
Wire Chakkar (10 Pcs),176.0
Maska Chaska (5 Pcs),166.0
Lotus Wheel (5 Pcs),176.0
Rio Wheel (10 Pcs) (Orange & Purple),242.0
4*4 Wheel (5 Pcs),176.0
Tiddo,132.0
Flower Pot Big (10 Pcs),66.0
Flower Pot Special (10 Pcs),84.0
Flower Pot Asoka (10 Pcs),110.0
Flower Pot Deluxe (5 Pcs),176.0
Flower Pot Super Deluxe (2 Pcs),122.0
Colour Koti (10 Pcs),198.0
Purple Cone,198.0
Gypsy (5 Pcs) / Lucky (5 Pcs),176.0
Scooby Doo Tri Colour Fountain (5 Pcs),198.0
Tri Colour Deluxe (3 Pcs),232.0
Colour Koti Deluxe (10 Pcs),352.0
Pinky Pie (6 Pcs) (Pink Colour),396.0
Jelly Been Super (10 Pcs),474.0
Violet Colour Koti (10 Pcs),770.0
1.5' Twinkling Star,28.0
4' Twinkling Star,66.0
"12"" Silver Torch",78.0
Candy Crush / Jelly Belly Candle,132.0
Selfie Stick (5 Pcs),166.0
Navrang Tri Colour (5 Pcs),176.0
Water Falls / Pop Corn Pencil (5 Pcs),210.0
Rainbow Smoke (3 Pcs),176.0
Bat & Ball,264.0
Try Colour Diamond (5 Pcs),18.0
Magic Pops (10 Pcs),18.0
Kit Kat / Tip Tap (10 Pcs),34.0
Red Bijili Gold (100 Pcs),40.0
Stripped Bijili (100 Pcs),44.0
Bro Bijili (100 Pcs),62.0
"Layz (Red, Green, Silver, Gold, R&G)",40.0
"Kurkur (Red, Green, Silver, Gold, R&G)",62.0
Asrafi Big (5 Pcs),44.0
Asrafi Small (5 Pcs),40.0
Bro (New),100.0
Kurkure (New),100.0
Hungry Colours (New),100.0
Binge Pop,176.0
Mega Siren (3 Pcs),220.0
Photo Flash (5 Pcs),78.0
Kickerzzz,132.0
H2O,144.0
Wanted Gun (5 Pcs),166.0
Dancing Butterfly (10 Pcs),72.0
Tin Beer,94.0
Bambaram (10 Pcs),110.0
Helicopter (5 Pcs),110.0
Peacock Feather (5 Pcs),110.0
Disco Shower (5 Pcs),122.0
Colour Rain (5 Pcs),110.0
Silver Rain (5 Pcs),110.0
Nebula (5 Pcs),132.0
Fire Feather (5 Pcs),132.0
Mini Peacock,110.0
Magical Peacock (5 Face),154.0
Belly Belly Peacock (3 Face),176.0
Bada Peacock (5 Face),462.0
Money In The Bank,66.0
Sound Marriage,66.0
Little Dove,66.0
90 Watts,122.0
Shinchan,94.0
