Product Name,Category,Original Price,Offer Price,Discount Percentage,Global Discount,Sort Order,Status
"2 1/2"" Kuruvi",SINGLE SOUND CRACKERS,40.0,8,,Yes,1,Active
"3 1/2"" Lakshmi",SINGLE SOUND CRACKERS,60.0,12,,Yes,2,Active
"4"" Lakshmi",SINGLE SOUND CRACKERS,85.0,17,,Yes,3,Active
"4"" Lakshmi Deluxe",SINGLE SOUND CRACKERS,125.0,25,,Yes,4,Active
"4"" Lakshmi Mega Deluxe S",SINGLE SOUND CRACKERS,175.0,35,,Yes,5,Active
Two Sound Crackers,SINGLE SOUND CRACKERS,175.0,35,,Yes,6,Active
Gold Lakshmi,SINGLE SOUND CRACKERS,175.0,35,,Yes,7,Active
"5"" Kamsan",SINGLE SOUND CRACKERS,250.0,50,,Yes,8,Active
"6"" Jallikattu / Lakshmi",SINGLE SOUND CRACKERS,300.0,60,,Yes,9,Active
Ground Chakkar Big (10 Pcs),GROUND CHAKKARS,175.0,35,,Yes,10,Active
Ground Chakkar Asoka (10 Pcs),GROUND CHAKKARS,225.0,45,,Yes,11,Active
Ground Chakkar Special (10 Pcs),GROUND CHAKKARS,375.0,75,,Yes,12,Active
Ground Chakkar Deluxe (10 Pcs),GROUND CHAKKARS,700.0,140,,Yes,13,Active
INF Spin Master Mini (10 Pcs),FANCY GROUND CHAKKARS,450.0,90,,Yes,14,Active
Sunflower Wheel (5 Pcs),FANCY GROUND CHAKKARS,550.0,110,,Yes,15,Active
Whistling Wheel (5 Pcs),FANCY GROUND CHAKKARS,600.0,120,,Yes,16,Active
Wire Chakkar (10 Pcs),FANCY GROUND CHAKKARS,800.0,160,,Yes,17,Active
Maska Chaska (5 Pcs),FANCY GROUND CHAKKARS,800.0,160,,Yes,18,Active
Lotus Wheel (5 Pcs),FANCY GROUND CHAKKARS,850.0,170,,Yes,19,Active
Rio Wheel ( 10 Pcs) (Orange & Purple),FANCY GROUND CHAKKARS,1100.0,220,,Yes,20,Active
4*4 Wheel (5Pcs),FANCY GROUND CHAKKARS,800.0,160,,Yes,21,Active
Tiddo,FANCY GROUND CHAKKARS,600.0,120,,Yes,22,Active
Flower Pot Big (10 Pcs),FLOWER POTS,325.0,65,,Yes,23,Active
Flower Pot Special (10 Pcs),FLOWER POTS,400.0,80,,Yes,24,Active
Flower Pot Asoka (10 Pcs),FLOWER POTS,550.0,110,,Yes,25,Active
Flower Pot Deluxe (5 Pcs),FLOWER POTS,800.0,160,,Yes,26,Active
Flower Pot Super Deluxe (2 Pcs),FLOWER POTS,550.0,110,,Yes,27,Active
Colour Koti (10Pcs),FANCY FLOWER POTS,900.0,180,,Yes,28,Active
Gypsy (5Pcs) / Lucky (5 Pcs),FANCY FLOWER POTS,800.0,160,,Yes,29,Active
Nano  Tri Colour Fountain(5 Pcs),FANCY FLOWER POTS,850.0,170,,Yes,30,Active
Madura Malli (3 Pcs),FANCY FLOWER POTS,850.0,170,,Yes,31,Active
Colour Koti Deluxe (10Pcs),FANCY FLOWER POTS,1500.0,300,,Yes,32,Active
Pinky Pie (6 Pcs) (Pink Colour),FANCY FLOWER POTS,1750.0,350,,Yes,33,Active
Jelly Been Super (10Pcs),FANCY FLOWER POTS,500.0,100,,Yes,34,Active
1.5' Twinkling Star,TWINKLING STARS,125.0,25,,Yes,35,Active
4' Twinkling Star,TWINKLING STARS,325.0,65,,Yes,36,Active
"12"" Silver Torch",CANDLES,375.0,75,,Yes,37,Active
Jelly Belly Candle,CANDLES,500.0,100,,Yes,38,Active
Selfie stick (5 Pcs),FANCY CANDLES,750.0,150,,Yes,39,Active
WaterFall (5 Pcs),FANCY CANDLES,1000.0,200,,Yes,40,Active
Pop Corn Pencil (5 Pcs),FANCY CANDLES,1000.0,200,,Yes,41,Active
Rainbow Smoke (3 Pcs),FANCY CANDLES,750.0,150,,Yes,42,Active
Bat,FANCY CANDLES,800.0,160,,Yes,43,Active
Try Colour Diamond (5 Pcs),TOYS & SPRINKLERS,75.0,15,,Yes,44,Active
Magic Pops (10 Pcs),TOYS & SPRINKLERS,75.0,15,,Yes,45,Active
Kit Kat / Tip Tap (10 Pcs),TOYS & SPRINKLERS,150.0,30,,Yes,46,Active
Red Bijili Gold (100 Pcs),BIJILI CRACKERS,175.0,35,,Yes,47,Active
Stripped Bijili (100 Pcs),BIJILI CRACKERS,200.0,40,,Yes,48,Active
Bro Bijili ( 100 Pcs),BIJILI CRACKERS,250.0,50,,Yes,49,Active
"Layz ( Red,Green,Silver,Gold,R&G)",KIDS SPECIAL FANCY FOUNTAINS,150.0,30,,Yes,50,Active
"Kurkure ( Red,Green,Silver,Gold,R&G)",KIDS SPECIAL FANCY FOUNTAINS,300.0,60,,Yes,51,Active
Asrafi Big (5 Pcs),KIDS SPECIAL FANCY FOUNTAINS,200.0,40,,Yes,52,Active
Asrafi Small (5 Pcs),KIDS SPECIAL FANCY FOUNTAINS,150.0,30,,Yes,53,Active
Bro (New),KIDS SPECIAL FANCY FOUNTAINS,500.0,100,,Yes,54,Active
Kurkure (New),KIDS SPECIAL FANCY FOUNTAINS,500.0,100,,Yes,55,Active
Hungry Colours (New),KIDS SPECIAL FANCY FOUNTAINS,500.0,100,,Yes,56,Active
Sing Pop,KIDS SPECIAL FANCY FOUNTAINS,800.0,160,,Yes,57,Active
Mega Siren (3 Pcs),KIDS SPECIAL FANCY FOUNTAINS,1000.0,200,,Yes,58,Active
Photo Flash (5 Pcs),KIDS SPECIAL FANCY FOUNTAINS,350.0,70,,Yes,59,Active
Wanted Gun (5 Pcs),KIDS SPECIAL FANCY FOUNTAINS,800.0,160,,Yes,60,Active
Dancing Butterfly (10 Pcs),KIDS SPECIAL FANCY FOUNTAINS,325.0,65,,Yes,61,Active
Tin Beer,KIDS SPECIAL FANCY FOUNTAINS,400.0,80,,Yes,62,Active
Bambaram (10 Pcs),KIDS SPECIAL FANCY FOUNTAINS,500.0,100,,Yes,63,Active
Helicopter (5 Pcs),KIDS SPECIAL FANCY FOUNTAINS,500.0,100,,Yes,64,Active
Peacock Feather (5 Pcs),SPECIAL FANCY FOUNTAINS (5 Pcs),495.0,99,,Yes,65,Active
Disco Shower (5 Pcs),SPECIAL FANCY FOUNTAINS (5 Pcs),550.0,110,,Yes,66,Active
Colour Rain (5 Pcs),SPECIAL FANCY FOUNTAINS (5 Pcs),550.0,110,,Yes,67,Active
