name,sku,category,has_image
Spectra Festive - 50 Item,GB-SF-50,GIFT BOXES,True
Fun Special - 40 Item,GB-FS-40,GIFT BOXES,True
Turbo - 30 Item,GB-TB-30,GIFT BOXES,True
Love Feast - 20 Item,GB-LF-20,GIFT BOXES,True
10 Cm Red Sparklers,VMS-171,SPARKLERS,True
10 Cm Green Sparklers,VMS-170,SPARKLERS,True
10 Cm Colour Sparklers,VMS-169,SPARKLERS,True
10 Cm Electric Sparklers,VMS-168,SPARKLERS,True
7 Cm Red Sparklers,VMS-167,SPARKLERS,True
7 Cm Green Sparklers,VMS-166,SPARKLERS,True
7 Cm Colour Sparklers,VMS-165,SPARKLERS,True
7 Cm Electric Sparklers,VMS-164,SPARKLERS,True
Digital Rain,VMS-163,FESTIVAL MEGA DISPLAY SHOTS,True
Pyro Gems,VMS-162,FESTIVAL MEGA DISPLAY SHOTS,True
"Univercell 30 Shots (2"" Comet)",VMS-161,FESTIVAL MEGA DISPLAY SHOTS,True
New 10*10 Light Celebration,VMS-160,FESTIVAL MEGA DISPLAY SHOTS,True
"Indian Army 30 Shots (2.5"" Comet)",VMS-159,FESTIVAL MEGA DISPLAY SHOTS,True
"Bharat Ratna 20 Shots (2.5"" Comet)",VMS-158,FESTIVAL MEGA DISPLAY SHOTS,True
30 Shots Zomato Full Crackling,VMS-157,NEW ARRIVAL FANTASTIC AERIAL,True
Blue Fantasy - 25 Shots,VMS-156,NEW ARRIVAL FANTASTIC AERIAL,True
Peacock Dance - 30 Shots,VMS-155,NEW ARRIVAL FANTASTIC AERIAL,True
25 Shot Whistling Sound,VMS-154,NEW ARRIVAL FANTASTIC AERIAL,True
240 Shot Multi Colour - Special,VMS-153,FESTIVAL DISPLAY SHOTS,True
120 Shot Multi Colour - Special,VMS-152,FESTIVAL DISPLAY SHOTS,True
120 Shot Multi Colour,VMS-151,FESTIVAL DISPLAY SHOTS,True
60 Shot Multi Colour - Special,VMS-150,FESTIVAL DISPLAY SHOTS,True
60 Shot Multi Colour,VMS-149,FESTIVAL DISPLAY SHOTS,True
50 Shot Multi Colour Full Crackling,VMS-148,FESTIVAL DISPLAY SHOTS,True
